strategy,radius_mode,n,diameter_mean,diameter_median,diameter_p95,detection_probability,move_distance_mean
fim_e,fixed_1000,2550,116.40698043702211,43.279975370381436,593.9876219924854,1.0,422.2302146968599
fim_e,fixed_1250,2500,209.88419586747824,81.8265390521902,792.8997807884148,1.0,384.2184543026771
fim_e,fixed_1500,2475,230.86665699262937,87.14218498031973,911.3583775005284,1.0,366.6695262874967
fim_e,random,2475,218.65274287165965,84.37704849476656,835.7885906644832,1.0,382.5938166845204
gdop_mean,fixed_1000,2550,56.92745586946868,46.78164412757042,190.29670141216147,0.9215686274509803,977.5981873634574
gdop_mean,fixed_1250,2500,49.861412253488616,48.40544994222668,74.2185897516877,1.0,1038.5420733491471
gdop_mean,fixed_1500,2475,50.93181611507935,48.076658518006944,82.0087258828523,1.0,1040.1267926724124
gdop_mean,random,2475,51.67623623108486,47.34163413564777,76.51729285250009,0.98989898989899,1053.2529399069638
geometry,fixed_1000,2550,62.65529713253194,48.89830601577607,141.85962332377872,1.0,863.1409549681008
geometry,fixed_1250,2500,73.63268308725195,60.13150726401956,165.82849499190755,1.0,931.5666630590921
geometry,fixed_1500,2475,67.38686811212263,54.95277604318818,137.55760370043737,1.0,937.1905009194471
geometry,random,2475,67.08226904586056,52.44461896838192,137.8688744760567,1.0,951.2983867630763
random,fixed_1000,2550,712.6079527533313,720.2505154225041,1495.0030560486202,0.3431372549019608,1185.206714686772
random,fixed_1250,2500,643.0856396367382,254.22419823964043,1495.0030560486202,0.53,1204.085642477376
random,fixed_1500,2475,300.91919164033646,91.4623396564375,1331.5385245500374,0.8282828282828283,1192.6058600635831
random,random,2475,691.1986205259208,498.3275489857687,1495.0030560486202,0.5050505050505051,1251.2924293306896
