strategy,seed,channel,first_seen_time_s,directional
deferred,0,5,29.0,False
deferred,0,6,35.0,False
deferred,0,13,77.0,False
deferred,0,20,119.0,False
deferred,0,18,347.0,False
deferred,0,7,521.0,True
deferred,0,10,1691.0,False
deferred,0,12,2387.0,True
deferred,0,2,2567.0,True
deferred,0,4,2579.0,False
deferred,0,16,2861.0,True
deferred,0,1,3233.0,False
deferred,0,3,3653.0,True
deferred,0,9,5303.0,True
deferred,0,14,5987.0,True
deferred,0,8,6617.0,True
deferred,1,7,41.0,False
deferred,1,13,77.0,True
deferred,1,14,83.0,False
deferred,1,19,113.0,False
deferred,1,8,287.0,True
deferred,1,17,341.0,True
deferred,1,11,3077.0,False
deferred,1,4,3707.0,True
deferred,1,16,3755.0,True
deferred,1,3,5309.0,True
deferred,1,9,5723.0,True
deferred,2,6,35.0,False
deferred,2,13,77.0,False
deferred,2,15,89.0,True
deferred,2,1,245.0,False
deferred,2,2,251.0,False
deferred,2,12,311.0,True
deferred,2,17,341.0,False
deferred,2,4,1223.0,True
deferred,2,20,1787.0,True
deferred,2,16,1997.0,False
deferred,2,14,2447.0,True
deferred,2,10,2645.0,False
deferred,2,5,3053.0,False
deferred,2,3,3257.0,False
deferred,2,11,3299.0,False
deferred,2,19,5897.0,True
deferred,3,1,5.0,False
deferred,3,2,11.0,True
deferred,3,8,47.0,False
deferred,3,16,95.0,False
deferred,3,19,113.0,False
deferred,3,5,269.0,False
deferred,3,11,305.0,False
deferred,3,10,779.0,True
deferred,3,18,2723.0,False
deferred,3,14,3863.0,False
deferred,3,12,5639.0,False
deferred,4,2,11.0,False
deferred,4,4,23.0,True
deferred,4,9,53.0,False
deferred,4,17,101.0,True
deferred,4,5,269.0,False
deferred,4,10,299.0,True
deferred,4,1,485.0,False
deferred,4,13,557.0,True
deferred,4,16,575.0,False
deferred,4,7,3107.0,True
deferred,4,15,3623.0,False
deferred,5,3,17.0,False
deferred,5,8,47.0,False
